system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,1.1969532100108813,2.8353537593332807,3.113444010657182,0.8999663444237948,0.8888997841014307
aya_owsm4.0-ctc,1.632208922742111,3.3526360999926585,3.7234364627810828,0.883292986329349,0.8715100305335306
aya_seamlessm4t,2.2850924918389555,4.76645684992171,5.199289642533812,0.8144076759151717,0.8012669206119596
aya_whisper,1.4145810663764962,2.5525286493091253,2.878166955998076,0.9093415117675643,0.8965345875596196
canary-v2,3.917301414581066,4.352286807086088,5.1107475545634315,0.8632852276371664,0.8318175684348543
desta2-8b,1.958650707290533,4.789234077008654,5.184859639668069,0.8086897296439836,0.7946736240218332
gemma_canary-v2,1.8498367791077257,2.8425068594515324,3.243006153374716,0.8997171377444941,0.8829399176971567
gemma_owsm4.0-ctc,1.7410228509249184,3.4511728582374745,3.834448071608119,0.881608366317666,0.8683105472706347
gemma_seamlessm4t,3.0467899891186074,4.896521181800485,5.4033299600533224,0.810759033755449,0.79380040099668
gemma_whisper,1.632208922742111,2.5603141721593414,2.9305157584581076,0.911563381876987,0.896678927722382
owsm4.0-ctc,2.3939064200217626,8.887736138677928,9.431331692703303,0.7498917656832084,0.7299236791275271
phi4multimodal,22.41566920565832,7.250211857247113,8.764224347294642,0.8665440108574384,0.6732443699104482
qwen2audio-7b,4.6789989118607185,5.2782544068286805,6.089920271435292,0.8199026100134824,0.7836546678181182
seamlessm4t,3.373231773667029,7.076904175472694,7.6668694947073,0.7513363325038076,0.7334992133640361
spirelm,1.632208922742111,7.09404998100378,7.341912792904365,0.7116710166725552,0.7023385329510494
tower_canary-v2,1.5233949945593037,2.81676667287816,3.162908216964725,0.9022480041696664,0.8885557299826428
tower_owsm4.0-ctc,1.7410228509249184,3.467016297411802,3.8538842896431262,0.8797080104317317,0.8650086519670175
tower_seamlessm4t,2.2850924918389555,4.79639983490531,5.166800185733995,0.8158033210804465,0.8033013544141663
tower_whisper,1.632208922742111,2.3992869490240745,2.773124218372156,0.9152961169755628,0.9007574317974806
voxtral-small-24b,1.8498367791077257,2.2514868624613777,2.655110958992008,0.92206026914492,0.9058212835313316
