system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,1.3057671381936888,4.155139839043588,4.452778191221584,0.8365790445572404,0.8249324456878793
aya_owsm4.0-ctc,1.088139281828074,4.93220878263147,5.18407012302919,0.7952407735508337,0.7851481644094185
aya_seamlessm4t,1.8498367791077257,6.549879098418488,6.833047889067636,0.7167641529053352,0.7089803611841438
aya_whisper,1.088139281828074,3.78525271520051,4.039159116806448,0.8484311970406829,0.83865670541198
canary-v2,3.4820457018498367,5.7520643081090395,6.267541947129048,0.7886637299890621,0.7625856055912053
desta2-8b,1.958650707290533,6.868109372571127,7.216487758615591,0.6768728924329445,0.6656422061243695
gemma_canary-v2,1.632208922742111,4.166604194656355,4.458869215964428,0.8408696896784713,0.8270457879081774
gemma_owsm4.0-ctc,1.3057671381936888,4.946762530066243,5.165636842914323,0.7935325134468546,0.7863648753041671
gemma_seamlessm4t,1.958650707290533,6.412623743991793,6.726611304537711,0.7173499908029447,0.708212964842628
gemma_whisper,1.958650707290533,3.8031430325437423,4.169402020718898,0.8556488906808595,0.8394971269956092
owsm4.0-ctc,2.176278563656148,12.560280276411765,12.96012861063548,0.5153530076190715,0.5014420595157879
phi4multimodal,5.8759521218716,5.713011824644462,6.36106497955319,0.8039608991363363,0.7539104267273816
qwen2audio-7b,3.0467899891186074,7.293172820960703,7.826377301139431,0.6787105699082973,0.6569023110353519
seamlessm4t,6.855277475516866,9.14941567442379,10.010600794771518,0.6307841967879992,0.5975926238605175
spirelm,1.7410228509249184,9.445652523788423,9.755908474086969,0.5689593988680509,0.5606786634578441
tower_canary-v2,1.632208922742111,4.129734586275733,4.5021178130348245,0.8369855129274503,0.8225903202890053
tower_owsm4.0-ctc,1.5233949945593037,5.080973555245746,5.385467819930323,0.7791910561711666,0.7682338974826743
tower_seamlessm4t,2.720348204570185,6.613331338036015,6.991262639360959,0.7169868521132913,0.7037215706840628
tower_whisper,1.7410228509249184,3.8192050908737785,4.205548525529471,0.8519685381903872,0.8362910940156798
voxtral-small-24b,1.958650707290533,3.549083092798184,3.976789972828995,0.857750631050005,0.8413476966183645
