system,accuracy_ne,,,accuracy_term,,
,en-es,en-fr,en-it,en-es,en-fr,en-it
whisper,0.0,0.0,0.0,0.0,0.0,0.0
seamlessm4t,65.56776556776556,59.53905249679897,58.663028649386085,75.6198347107438,72.71801832371904,65.12261580381471
canary-v2,69.59706959706959,66.38924455825864,62.82401091405184,80.24042073628851,81.09942314217848,76.43051771117166
owsm4.0-ctc,46.52014652014652,42.18950064020486,40.586630286493865,69.98497370398196,67.119104173736,56.902815622161675
aya whisper,67.70451770451771,66.64532650448145,60.91405184174625,80.80390683696469,80.01357312521208,76.70299727520435
gemma whisper,67.64346764346764,65.68501920614597,59.276944065484315,78.43726521412472,77.29894808279606,73.97820163487738
tower whisper,68.98656898656898,68.24583866837388,63.43792633015006,81.59278737791135,82.04954190702409,77.52043596730245
aya seamlessm4t,70.51282051282051,65.94110115236876,61.45975443383356,81.32982719759579,79.94570749915168,78.42870118074478
gemma seamlessm4t,70.2075702075702,64.9807938540333,59.754433833560704,78.88805409466566,76.72209026128266,76.20345140781109
tower seamlessm4t,71.18437118437119,67.9257362355954,63.5743519781719,82.60706235912848,82.2531387852053,78.88283378746594
aya canary-v2,70.08547008547008,66.19718309859155,61.174551386623165,82.00601051840721,81.06549032914828,77.45415318230853
gemma canary-v2,68.98656898656898,64.9167733674776,59.95907230559345,79.97746055597295,78.07940278249067,75.4314259763851
tower canary-v2,70.94017094017094,68.24583866837388,63.915416098226466,82.71975957926371,82.32100441126569,78.33787465940054
aya owsm4.0-ctc,66.42246642246641,63.70038412291933,58.2537517053206,81.17956423741548,80.04750593824228,77.29336966394187
gemma owsm4.0-ctc,65.56776556776556,62.29193341869398,57.094133697135064,78.70022539444027,77.06141839158465,75.29518619436875
tower owsm4.0-ctc,67.76556776556777,65.87708066581305,61.59618008185539,81.59278737791135,82.32100441126569,78.06539509536785
desta2-8b,45.78754578754579,43.9820742637644,41.20054570259209,54.28249436513899,53.919239904988125,48.09264305177112
qwen2audio-7b,65.44566544566544,62.355953905249685,60.16371077762619,74.07963936889557,77.12928401764506,68.7102633969119
phi4multimodal,62.637362637362635,45.26248399487836,55.04774897680764,71.29977460555973,55.34441805225653,69.70935513169846
voxtral-small-24b,69.71916971916971,66.90140845070422,64.12005457025921,79.60180315552216,82.4567356633865,76.83923705722071
spirelm,68.92551892551893,65.55697823303457,65.00682128240109,77.94891059353868,76.34882931795046,73.433242506812
gemini-2.5-flash,67.76556776556777,67.09346991037131,62.68758526603001,82.49436513899325,82.42280285035629,79.51861943687557
