system,accuracy_ne,accuracy_term
aya_canary-v2,70.08547008547008,82.00601051840721
aya_owsm4.0-ctc,66.42246642246641,81.17956423741548
aya_seamlessm4t,70.51282051282051,81.32982719759579
aya_whisper,67.70451770451771,80.80390683696469
canary-v2,69.59706959706959,80.24042073628851
desta2-8b,45.78754578754579,54.28249436513899
gemini-2.5-flash,67.76556776556777,82.49436513899325
gemma_canary-v2,68.98656898656898,79.97746055597295
gemma_owsm4.0-ctc,65.56776556776556,78.70022539444027
gemma_seamlessm4t,70.2075702075702,78.88805409466566
gemma_whisper,67.64346764346764,78.43726521412472
owsm4.0-ctc,46.52014652014652,69.98497370398196
phi4multimodal,62.637362637362635,71.29977460555973
qwen2audio-7b,65.44566544566544,74.07963936889557
seamlessm4t,65.56776556776556,75.6198347107438
spirelm,68.92551892551893,77.94891059353868
tower_canary-v2,70.94017094017094,82.71975957926371
tower_owsm4.0-ctc,67.76556776556777,81.59278737791135
tower_seamlessm4t,71.18437118437119,82.60706235912848
tower_whisper,68.98656898656898,81.59278737791135
voxtral-small-24b,69.71916971916971,79.60180315552216
whisper,,
