system,accuracy_ne,accuracy_term
aya_canary-v2,66.19718309859155,81.06549032914828
aya_owsm4.0-ctc,63.70038412291933,80.04750593824228
aya_seamlessm4t,65.94110115236876,79.94570749915168
aya_whisper,66.64532650448145,80.01357312521208
canary-v2,66.38924455825864,81.09942314217848
desta2-8b,43.9820742637644,53.919239904988125
gemini-2.5-flash,67.09346991037131,82.42280285035629
gemma_canary-v2,64.9167733674776,78.07940278249067
gemma_owsm4.0-ctc,62.29193341869398,77.06141839158465
gemma_seamlessm4t,64.9807938540333,76.72209026128266
gemma_whisper,65.68501920614597,77.29894808279606
owsm4.0-ctc,42.18950064020486,67.119104173736
phi4multimodal,45.26248399487836,55.34441805225653
qwen2audio-7b,62.355953905249685,77.12928401764506
seamlessm4t,59.53905249679897,72.71801832371904
spirelm,65.55697823303457,76.34882931795046
tower_canary-v2,68.24583866837388,82.32100441126569
tower_owsm4.0-ctc,65.87708066581305,82.32100441126569
tower_seamlessm4t,67.9257362355954,82.2531387852053
tower_whisper,68.24583866837388,82.04954190702409
voxtral-small-24b,66.90140845070422,82.4567356633865
whisper,,
