system,accuracy_ne,accuracy_term
aya_canary-v2,61.174551386623165,77.45415318230853
aya_owsm4.0-ctc,58.2537517053206,77.29336966394187
aya_seamlessm4t,61.45975443383356,78.42870118074478
aya_whisper,60.91405184174625,76.70299727520435
canary-v2,62.82401091405184,76.43051771117166
desta2-8b,41.20054570259209,48.09264305177112
gemini-2.5-flash,62.68758526603001,79.51861943687557
gemma_canary-v2,59.95907230559345,75.4314259763851
gemma_owsm4.0-ctc,57.094133697135064,75.29518619436875
gemma_seamlessm4t,59.754433833560704,76.20345140781109
gemma_whisper,59.276944065484315,73.97820163487738
owsm4.0-ctc,40.586630286493865,56.902815622161675
phi4multimodal,55.04774897680764,69.70935513169846
qwen2audio-7b,60.16371077762619,68.7102633969119
seamlessm4t,58.663028649386085,65.12261580381471
spirelm,65.00682128240109,73.433242506812
tower_canary-v2,63.915416098226466,78.33787465940054
tower_owsm4.0-ctc,61.59618008185539,78.06539509536785
tower_seamlessm4t,63.5743519781719,78.88283378746594
tower_whisper,63.43792633015006,77.52043596730245
voxtral-small-24b,64.12005457025921,76.83923705722071
whisper,,
