system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-0.116,-3.8026,0.1909
seamlessm4t,both,-0.116,-3.5687,0.1751
canary-v2,both,-0.58,-3.8592,0.1788
owsm4.0-ctc,both,-0.8121,-3.7045,0.1595
gemma_whisper,both,-0.232,-3.6266,0.1839
tower_whisper,both,-0.348,-3.6311,0.1813
aya_whisper,both,-0.232,-3.3809,0.1701
aya_seamlessm4t,both,0.0,-3.434,0.163
gemma_seamlessm4t,both,-0.116,-3.8028,0.1819
tower_seamlessm4t,both,0.0,-3.6677,0.1724
aya_canary-v2,both,-0.464,-4.0505,0.1983
gemma_canary-v2,both,-0.58,-4.1913,0.2045
tower_canary-v2,both,-0.58,-4.1291,0.2018
aya_owsm4.0-ctc,both,0.0,-5.0542,0.2441
gemma_owsm4.0-ctc,both,-0.348,-5.424,0.2572
tower_owsm4.0-ctc,both,-100.0,-22.2629,0.9184
desta2-8b,both,-1.1601,-6.8413,0.3283
qwen2audio-7b,both,-1.5081,-4.9076,0.2531
phi4multimodal,both,-2.4362,-2.2119,0.1075
voxtral-small-24b,both,0.0,-2.2462,0.124
spirelm,right_only,,,
