system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-0.0,-2.1486,0.0729
canary-v2,both,0.0,-2.2687,0.0742
owsm4.0-ctc,both,-0.624,-2.8193,0.1091
gemma_whisper,both,-0.468,-1.513,0.0531
tower_whisper,both,-0.468,-1.5207,0.0535
aya_whisper,both,-0.468,-1.4971,0.0524
aya_seamlessm4t,both,0.0,-1.6582,0.0581
gemma_seamlessm4t,both,-0.156,-1.5606,0.0584
tower_seamlessm4t,both,0.0,-1.7265,0.0611
aya_canary-v2,both,0.0,-1.5408,0.0493
gemma_canary-v2,both,0.0,-1.4375,0.0494
tower_canary-v2,both,0.0,-1.6447,0.0516
aya_owsm4.0-ctc,both,0.0,-2.7157,0.0936
gemma_owsm4.0-ctc,both,0.0,-2.5572,0.0865
tower_owsm4.0-ctc,both,0.0,-23.1853,0.8178
desta2-8b,both,-0.156,-3.0076,0.1164
qwen2audio-7b,both,-0.468,-1.4142,0.0606
phi4multimodal,both,1.248,-0.1822,0.0068
voxtral-small-24b,both,0.0,-0.7682,0.0302
spirelm,both,-0.624,-8.7385,0.3927
