system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,0.0,-2.4886,0.0949
canary-v2,both,0.1555,-2.3932,0.093
owsm4.0-ctc,both,-0.1555,-2.7994,0.1159
gemma_whisper,both,-0.3111,-1.7844,0.0774
tower_whisper,both,-0.3111,-1.8415,0.075
aya_whisper,both,-0.0,-1.7133,0.0716
aya_seamlessm4t,both,-0.1555,-2.0971,0.0879
gemma_seamlessm4t,both,-0.1556,-2.0651,0.0832
tower_seamlessm4t,both,-0.1556,-2.2422,0.0884
aya_canary-v2,both,0.0,-2.0393,0.0783
gemma_canary-v2,both,-0.0,-1.8437,0.0797
tower_canary-v2,both,-0.0,-2.0858,0.0819
aya_owsm4.0-ctc,both,-0.9332,-3.355,0.1402
gemma_owsm4.0-ctc,both,-0.7776,-3.2998,0.1469
tower_owsm4.0-ctc,both,0.311,-22.0527,0.7768
desta2-8b,both,-0.6221,-3.5638,0.1623
qwen2audio-7b,both,-0.311,-1.71,0.0802
phi4multimodal,both,0.3111,-0.7229,0.0338
voxtral-small-24b,both,0.1556,-1.0628,0.0574
spirelm,both,-0.4665,-9.6898,0.3899
