system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,0.0,-2.4961,0.1329
canary-v2,both,-0.3268,-2.5198,0.1189
owsm4.0-ctc,both,-0.4902,-2.4314,0.0833
gemma_whisper,both,-0.4902,-1.7378,0.0893
tower_whisper,both,-0.3268,-1.7678,0.0905
aya_whisper,both,0.0,-1.7493,0.0908
aya_seamlessm4t,both,0.0,-2.0939,0.1116
gemma_seamlessm4t,both,0.0,-2.0347,0.1122
tower_seamlessm4t,both,0.0,-2.1516,0.1148
aya_canary-v2,both,-0.1634,-1.9281,0.1035
gemma_canary-v2,both,0.0,-1.7773,0.0981
tower_canary-v2,both,0.1634,-1.8762,0.0984
aya_owsm4.0-ctc,both,-0.3268,-2.8545,0.1724
gemma_owsm4.0-ctc,both,-0.4902,-3.0687,0.1694
tower_owsm4.0-ctc,both,0.3268,-21.8437,0.7532
desta2-8b,both,-0.1634,-3.523,0.1652
qwen2audio-7b,both,0.0,-1.6107,0.1019
phi4multimodal,both,1.4706,-0.1471,0.0136
voxtral-small-24b,both,0.0,-0.8549,0.0581
spirelm,both,-0.4902,-9.1956,0.3969
