system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-0.1562,-2.6069,0.1071
canary-v2,both,-0.3125,-2.5251,0.1032
owsm4.0-ctc,both,0.1562,-2.3477,0.0966
gemma_whisper,both,-0.3126,-1.5963,0.0824
tower_whisper,both,-0.3125,-1.7309,0.0813
aya_whisper,both,-0.3125,-1.7221,0.0777
aya_seamlessm4t,both,-0.1562,-2.1335,0.0949
gemma_seamlessm4t,both,-0.3125,-2.0946,0.0908
tower_seamlessm4t,both,0.0,-2.1091,0.0927
aya_canary-v2,both,0.0,-1.8913,0.0815
gemma_canary-v2,both,0.0,-1.9165,0.0845
tower_canary-v2,both,0.0,-1.9741,0.0883
aya_owsm4.0-ctc,both,-0.3125,-3.0212,0.1341
gemma_owsm4.0-ctc,both,-0.625,-3.206,0.1484
tower_owsm4.0-ctc,both,0.0,-22.1603,0.7784
desta2-8b,both,-0.3126,-3.5355,0.1448
qwen2audio-7b,both,0.0,-1.7289,0.0817
phi4multimodal,both,-1.7187,-1.3902,0.0663
voxtral-small-24b,both,0.0,-1.0538,0.0555
spirelm,both,-1.4062,-9.5144,0.4022
