system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-1.2959,-2.9791,0.1152
canary-v2,both,-0.216,-2.5657,0.1028
owsm4.0-ctc,both,-0.2159,-1.8388,0.0852
gemma_whisper,both,-0.216,-1.7189,0.0739
tower_whisper,both,-0.432,-1.7473,0.0737
aya_whisper,both,-0.216,-1.7701,0.0715
aya_seamlessm4t,both,0.0,-2.0397,0.0857
gemma_seamlessm4t,both,0.216,-1.9597,0.0819
tower_seamlessm4t,both,0.0,-2.1419,0.0868
aya_canary-v2,both,-0.432,-1.8637,0.0766
gemma_canary-v2,both,-0.216,-1.8613,0.0728
tower_canary-v2,both,-0.2159,-1.8032,0.0741
aya_owsm4.0-ctc,both,-0.432,-3.1411,0.1304
gemma_owsm4.0-ctc,both,-0.216,-3.197,0.1299
tower_owsm4.0-ctc,both,0.0,-22.2041,0.7977
desta2-8b,both,0.0,-3.2402,0.1483
qwen2audio-7b,both,0.216,-1.8036,0.0804
phi4multimodal,both,-3.0237,-1.1143,0.0539
voxtral-small-24b,both,0.0,-1.0793,0.0543
spirelm,both,-1.7278,-9.7328,0.4095
