system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-0.155,-2.6483,0.1011
canary-v2,both,-0.1551,-2.6588,0.0935
owsm4.0-ctc,both,-5.2713,-2.1756,0.093
gemma_whisper,both,-0.3101,-1.8725,0.0811
tower_whisper,both,-0.4651,-1.9876,0.0784
aya_whisper,both,-0.6201,-1.8908,0.0745
aya_seamlessm4t,both,-0.1551,-2.1554,0.0844
gemma_seamlessm4t,both,-0.3101,-2.2103,0.0865
tower_seamlessm4t,both,-0.155,-2.2579,0.0913
aya_canary-v2,both,0.0,-2.1233,0.0819
gemma_canary-v2,both,-0.155,-2.0435,0.085
tower_canary-v2,both,0.3101,-2.0897,0.0791
aya_owsm4.0-ctc,both,0.0,-3.2666,0.1296
gemma_owsm4.0-ctc,both,-0.155,-3.2898,0.1422
tower_owsm4.0-ctc,both,0.7752,-21.2419,0.7723
desta2-8b,both,0.3101,-3.5768,0.1503
qwen2audio-7b,both,0.6202,-1.7015,0.0784
phi4multimodal,both,-0.31,-1.0406,0.0442
voxtral-small-24b,both,0.1551,-0.9738,0.0486
spirelm,both,0.155,-9.7016,0.3996
