system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-0.4644,-1.8182,0.1081
canary-v2,both,0.0,0.0,0.0
owsm4.0-ctc,both,-0.4644,-2.1643,0.0917
gemma_whisper,both,0.0,-1.0911,0.0668
tower_whisper,both,0.0,-1.162,0.0696
aya_whisper,both,-0.1548,-1.0056,0.071
aya_seamlessm4t,both,0.0,-1.1776,0.0753
gemma_seamlessm4t,both,0.0,-1.2882,0.09
tower_seamlessm4t,both,0.0,-1.2782,0.0823
aya_canary-v2,both,-0.1548,-1.1154,0.0682
gemma_canary-v2,both,0.0,-1.0272,0.0755
tower_canary-v2,both,0.0,-1.1523,0.0758
aya_owsm4.0-ctc,both,-0.4644,-1.8297,0.1309
gemma_owsm4.0-ctc,both,0.0,-1.903,0.1282
tower_owsm4.0-ctc,both,0.0,-22.1058,0.7332
desta2-8b,both,-11.7647,-3.5738,0.1526
qwen2audio-7b,both,-1.2384,-1.1724,0.0869
phi4multimodal,both,-3.5604,-1.2257,0.0699
voxtral-small-24b,both,0.0,-0.6591,0.0528
spirelm,both,0.0,-5.7701,0.3204
