system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,0.0,-1.0512,0.059
seamlessm4t,both,-0.1101,-0.9154,0.0566
canary-v2,both,0.0,-0.7374,0.0489
owsm4.0-ctc,both,0.0,-1.1626,0.0596
gemma_whisper,both,0.0,-0.8012,0.0521
tower_whisper,both,-0.2203,-0.8884,0.054
aya_whisper,both,0.0,-0.7963,0.0522
aya_seamlessm4t,both,0.0,-0.9041,0.0554
gemma_seamlessm4t,both,-0.1101,-0.9333,0.0582
tower_seamlessm4t,both,0.0,-0.8959,0.056
aya_canary-v2,both,0.0,-0.9817,0.0575
gemma_canary-v2,both,0.1101,-0.9767,0.0579
tower_canary-v2,both,-0.1101,-1.002,0.0586
aya_owsm4.0-ctc,both,-0.0,-1.7838,0.106
gemma_owsm4.0-ctc,both,0.3304,-1.7247,0.1054
tower_owsm4.0-ctc,both,-100.0,-22.6095,0.9164
desta2-8b,both,-0.1101,-2.2081,0.1328
qwen2audio-7b,both,-1.3215,-1.5838,0.0918
phi4multimodal,both,-0.1101,-0.537,0.0314
voxtral-small-24b,both,-0.1101,-0.5452,0.0306
spirelm,right_only,,,
