system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-0.0,-3.8821,0.2263
seamlessm4t,both,-0.4438,-3.8941,0.2187
canary-v2,both,-0.1479,-3.1927,0.1706
owsm4.0-ctc,both,-0.5917,-3.6578,0.1543
gemma_whisper,both,-0.1479,-3.7951,0.2089
tower_whisper,both,-0.4438,-3.8741,0.212
aya_whisper,both,0.0,-3.5648,0.2033
aya_seamlessm4t,both,-0.1479,-3.7725,0.2172
gemma_seamlessm4t,both,0.0,-3.8592,0.2142
tower_seamlessm4t,both,0.0,-3.8137,0.2163
aya_canary-v2,both,0.0,-3.3983,0.1928
gemma_canary-v2,both,0.148,-3.5523,0.1991
tower_canary-v2,both,0.0,-3.6275,0.1999
aya_owsm4.0-ctc,both,0.0,-4.3336,0.251
gemma_owsm4.0-ctc,both,-0.1479,-4.7612,0.258
tower_owsm4.0-ctc,both,-100.0,-21.6155,0.8615
desta2-8b,both,0.0,-6.0738,0.2834
qwen2audio-7b,both,-0.4437,-4.3351,0.2484
phi4multimodal,both,-0.1479,-2.211,0.1426
voxtral-small-24b,both,-0.2958,-2.5427,0.1651
spirelm,right_only,,,
