system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,0.0,-0.854,0.0493
seamlessm4t,both,-0.1156,-0.9285,0.0563
canary-v2,both,0.0,-0.9002,0.0485
owsm4.0-ctc,both,0.3468,-1.0814,0.0606
gemma_whisper,both,0.0,-0.7848,0.0496
tower_whisper,both,0.0,-0.6765,0.0402
aya_whisper,both,0.0,-0.6833,0.0417
aya_seamlessm4t,both,-0.0,-0.7615,0.0469
gemma_seamlessm4t,both,0.0,-0.8228,0.0468
tower_seamlessm4t,both,0.0,-0.8238,0.0448
aya_canary-v2,both,0.1156,-0.8649,0.0511
gemma_canary-v2,both,0.0,-0.8764,0.0499
tower_canary-v2,both,0.0,-0.9301,0.0511
aya_owsm4.0-ctc,both,0.1156,-1.38,0.0856
gemma_owsm4.0-ctc,both,0.0,-1.5072,0.0887
tower_owsm4.0-ctc,both,-99.6532,-22.5451,0.9122
desta2-8b,both,0.1156,-2.0594,0.1236
qwen2audio-7b,both,-0.8093,-1.7159,0.1091
phi4multimodal,both,-0.8092,-0.4737,0.0274
voxtral-small-24b,both,0.1156,-0.3744,0.0236
spirelm,right_only,,,
