system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-0.3264,-1.3133,0.0727
seamlessm4t,both,-0.2176,-1.2231,0.072
canary-v2,both,-0.2176,-1.6533,0.0907
owsm4.0-ctc,both,-1.0882,-1.9273,0.1009
gemma_whisper,both,-1.197,-1.4455,0.0912
tower_whisper,both,-1.9587,-1.3489,0.0912
aya_whisper,both,-1.197,-1.3744,0.09
aya_seamlessm4t,both,-0.2176,-1.2804,0.0741
gemma_seamlessm4t,both,-0.2176,-1.3447,0.0756
tower_seamlessm4t,both,-0.1088,-1.2569,0.0725
aya_canary-v2,both,-0.1088,-1.742,0.1047
gemma_canary-v2,both,-0.1088,-1.7723,0.1054
tower_canary-v2,both,-0.1088,-1.7762,0.105
aya_owsm4.0-ctc,both,-0.0,-2.2528,0.1357
gemma_owsm4.0-ctc,both,-0.4353,-2.7049,0.183
tower_owsm4.0-ctc,both,-99.7824,-22.1566,0.8979
desta2-8b,both,-0.4353,-2.766,0.1613
qwen2audio-7b,both,-0.5441,-2.3263,0.1368
phi4multimodal,both,-0.1088,-0.6378,0.039
voxtral-small-24b,both,0.7617,-0.529,0.0366
spirelm,right_only,,,
