system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-0.1059,-1.6191,0.0687
seamlessm4t,both,0.0,-1.1064,0.049
canary-v2,both,24.9736,0.7207,-0.034
owsm4.0-ctc,both,0.4233,-0.7092,0.0167
gemma_whisper,both,-0.2116,-1.3497,0.0591
tower_whisper,both,-0.2117,-1.241,0.056
aya_whisper,both,-0.0,-1.1772,0.0546
aya_seamlessm4t,both,0.1058,-0.9771,0.0473
gemma_seamlessm4t,both,-0.1058,-1.0518,0.0478
tower_seamlessm4t,both,-0.1058,-1.0993,0.0487
aya_canary-v2,both,5.0794,0.8736,-0.0069
gemma_canary-v2,right_only,,,
tower_canary-v2,both,,,
aya_owsm4.0-ctc,both,-0.0,-1.7618,0.0856
gemma_owsm4.0-ctc,both,-0.0,-1.7259,0.0869
tower_owsm4.0-ctc,both,-0.2116,-1.7148,0.0813
desta2-8b,both,0.5291,-2.2217,0.1061
qwen2audio-7b,both,0.0,-0.3242,0.0114
phi4multimodal,both,-2.328,-0.9222,0.0375
voxtral-small-24b,both,-0.4233,-1.009,0.0501
spirelm,right_only,,,
