system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,0.15625,5.8375339028076265,5.840953391476068,0.7920698511879891,0.7919286163174547
canary-v2,0.3125,5.659082073427271,5.69323446349008,0.8003663397626951,0.7986430997494608
owsm4.0-ctc,2.34375,15.690142952790485,15.891539867362008,0.378096483531408,0.36856157176662235
gemma_whisper,,,,,
tower_whisper,0.3125,3.9688205603160895,3.970496520737652,0.8526194863545242,0.8521686998486985
aya_whisper,,,,,
aya_seamlessm4t,,,,,
gemma_seamlessm4t,,,,,
tower_seamlessm4t,0.0,4.272937938361428,4.272937938361428,0.8397638618946075,0.8397638618946075
aya_canary-v2,,,,,
gemma_canary-v2,,,,,
tower_canary-v2,0.0,4.152929932868574,4.152929932868574,0.8497776418109424,0.8497776418109424
aya_owsm4.0-ctc,,,,,
gemma_owsm4.0-ctc,,,,,
tower_owsm4.0-ctc,,,,,
desta2-8b,0.46875,7.970896519243252,8.003419257968199,0.6393016481306404,0.6378777452744544
qwen2audio-7b,2.5,7.338700477359817,7.54060323885642,0.7308396334585268,0.7078257316548843
phi4multimodal,5.9375,6.11376072850544,6.257533727423288,0.8313002576003783,0.7803231899044476
voxtral-small-24b,0.0,2.7358278400846756,2.7358278400846756,0.8962542711175047,0.8962542711175047
spirelm,1.40625,14.053948836610653,14.136357124359346,0.4223793187295087,0.417922058457043
