system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-3.7123,-16.1597,0.6801
seamlessm4t,both,-1.0441,-17.4517,0.7073
canary-v2,both,-15.3132,-18.0125,0.7162
owsm4.0-ctc,both,-38.2831,-11.6425,0.3562
gemma_whisper,both,-1.9722,-17.7368,0.733
tower_whisper,both,-20.0696,-18.0157,0.7606
aya_whisper,both,-2.6682,-16.3972,0.7195
aya_seamlessm4t,both,-4.9884,-18.5076,0.7381
gemma_seamlessm4t,both,-4.7564,-18.5918,0.731
tower_seamlessm4t,both,-5.1044,-18.5761,0.7401
aya_canary-v2,both,-30.5104,-19.6414,0.8036
gemma_canary-v2,both,-30.6265,-19.8596,0.8049
tower_canary-v2,both,-30.7425,-19.4647,0.8068
aya_owsm4.0-ctc,both,-33.8747,-19.9759,0.8032
gemma_owsm4.0-ctc,both,-40.7193,-20.4096,0.8038
tower_owsm4.0-ctc,both,-100.0,-22.2629,0.9184
desta2-8b,both,-5.3364,-18.3337,0.6855
qwen2audio-7b,both,-5.1044,-17.4701,0.6558
phi4multimodal,both,-11.0209,-10.7396,0.5397
voxtral-small-24b,both,-0.9281,-16.0168,0.6846
spirelm,right_only,,,
