system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-1.8721,-12.6067,0.4798
canary-v2,both,-7.9563,-14.2282,0.5346
owsm4.0-ctc,both,-11.3885,-12.1152,0.5401
gemma_whisper,both,-8.4243,-11.4473,0.4285
tower_whisper,both,-8.5803,-11.5598,0.4254
aya_whisper,both,-3.9002,-11.0869,0.4128
aya_seamlessm4t,both,-0.312,-11.9458,0.4579
gemma_seamlessm4t,both,-0.468,-11.6964,0.4595
tower_seamlessm4t,both,-0.468,-12.0873,0.4622
aya_canary-v2,both,-0.78,-12.7201,0.4889
gemma_canary-v2,both,-4.2122,-12.9044,0.506
tower_canary-v2,both,-4.5242,-13.1088,0.5041
aya_owsm4.0-ctc,both,-3.1201,-14.654,0.5458
gemma_owsm4.0-ctc,both,-14.0406,-15.2495,0.5956
tower_owsm4.0-ctc,both,0.0,-23.1853,0.8178
desta2-8b,both,-3.4321,-14.5815,0.5601
qwen2audio-7b,both,-1.56,-7.6438,0.3476
phi4multimodal,both,-31.0453,-9.015,0.3679
voxtral-small-24b,both,0.0,-7.3249,0.3036
spirelm,both,-0.468,-14.6074,0.7331
