system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-7.9316,-13.7267,0.5342
canary-v2,both,-8.3981,-14.7046,0.569
owsm4.0-ctc,both,-13.5303,-10.3129,0.3926
gemma_whisper,both,-10.5755,-12.2842,0.4765
tower_whisper,both,-9.4868,-12.4655,0.4831
aya_whisper,both,-6.3764,-12.2226,0.4689
aya_seamlessm4t,both,-0.4665,-13.1859,0.512
gemma_seamlessm4t,both,-0.7776,-13.1179,0.5102
tower_seamlessm4t,both,-0.6221,-13.4323,0.5142
aya_canary-v2,both,-1.7107,-14.2833,0.5533
gemma_canary-v2,both,-4.1991,-13.9807,0.5564
tower_canary-v2,both,-5.4433,-14.4708,0.5643
aya_owsm4.0-ctc,both,-3.7325,-15.8721,0.6254
gemma_owsm4.0-ctc,both,-11.042,-16.1166,0.6297
tower_owsm4.0-ctc,both,0.311,-22.0527,0.7768
desta2-8b,both,-5.4433,-15.1753,0.5745
qwen2audio-7b,both,-1.3997,-8.1068,0.3472
phi4multimodal,both,-32.3484,-9.9557,0.4324
voxtral-small-24b,both,-0.1555,-8.6218,0.3596
spirelm,both,-0.7776,-17.8684,0.6562
