system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-0.9804,-13.8023,0.5742
canary-v2,both,-12.0915,-14.9475,0.619
owsm4.0-ctc,both,-13.2353,-9.625,0.2692
gemma_whisper,both,-15.8497,-12.187,0.5288
tower_whisper,both,-15.6863,-12.2469,0.5238
aya_whisper,both,-10.6209,-11.9582,0.5232
aya_seamlessm4t,both,-0.3268,-13.0716,0.5662
gemma_seamlessm4t,both,-0.3268,-12.9219,0.5581
tower_seamlessm4t,both,-0.1634,-13.1605,0.5617
aya_canary-v2,both,-0.9804,-13.9044,0.6083
gemma_canary-v2,both,-2.451,-13.9275,0.5925
tower_canary-v2,both,-4.4118,-14.049,0.6106
aya_owsm4.0-ctc,both,-1.1438,-15.5704,0.6676
gemma_owsm4.0-ctc,both,-11.1111,-15.8398,0.6641
tower_owsm4.0-ctc,both,0.3268,-21.8437,0.7532
desta2-8b,both,-6.3725,-15.1243,0.5242
qwen2audio-7b,both,-0.6536,-8.3444,0.41
phi4multimodal,both,-22.0588,-5.5773,0.24
voxtral-small-24b,both,0.1634,-8.2911,0.4042
spirelm,both,-1.634,-16.0118,0.6139
