system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-5.0,-13.8249,0.5442
canary-v2,both,-9.2188,-14.841,0.5821
owsm4.0-ctc,both,-11.0937,-9.1401,0.3125
gemma_whisper,both,-10.0,-12.1211,0.4823
tower_whisper,both,-8.4375,-12.1485,0.4781
aya_whisper,both,-7.1875,-12.1604,0.476
aya_seamlessm4t,both,-0.7812,-13.2392,0.5358
gemma_seamlessm4t,both,-1.0938,-13.1778,0.5323
tower_seamlessm4t,both,-0.625,-13.3588,0.5329
aya_canary-v2,both,-1.4062,-14.0063,0.57
gemma_canary-v2,both,-4.8438,-13.847,0.5709
tower_canary-v2,both,-5.0,-14.0571,0.5788
aya_owsm4.0-ctc,both,-2.0312,-15.6644,0.6411
gemma_owsm4.0-ctc,both,-12.0312,-16.1678,0.6595
tower_owsm4.0-ctc,both,-13.125,-16.1212,0.6616
desta2-8b,both,-2.3438,-14.7336,0.5267
qwen2audio-7b,both,0.7812,-7.7807,0.365
phi4multimodal,both,-24.8437,-9.5109,0.4263
voxtral-small-24b,both,-0.4688,-8.5035,0.3716
spirelm,both,-1.875,-16.6772,0.6602
