system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-3.8877,-13.6357,0.5329
canary-v2,both,-10.1512,-15.0319,0.5801
owsm4.0-ctc,both,-16.4146,-8.3156,0.3356
gemma_whisper,both,-19.2225,-12.5952,0.502
tower_whisper,both,-12.095,-12.7668,0.4895
aya_whisper,both,-14.6868,-12.3678,0.4902
aya_seamlessm4t,both,-2.1598,-12.9422,0.5079
gemma_seamlessm4t,both,-0.6479,-12.8286,0.5049
tower_seamlessm4t,both,-1.9438,-13.128,0.5152
aya_canary-v2,both,-1.2959,-13.9339,0.5575
gemma_canary-v2,both,-3.4557,-14.0169,0.5604
tower_canary-v2,both,-0.6479,-13.7613,0.5417
aya_owsm4.0-ctc,both,-3.2397,-15.5729,0.6325
gemma_owsm4.0-ctc,both,-15.5508,-16.481,0.6562
tower_owsm4.0-ctc,both,-4.9676,-15.4965,0.57
desta2-8b,both,-7.1274,-14.847,0.5884
qwen2audio-7b,both,0.648,-7.8419,0.3609
phi4multimodal,both,-39.9568,-9.271,0.4096
voxtral-small-24b,both,-0.432,-8.2266,0.3579
spirelm,both,-1.0799,-16.556,0.693
