system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-2.1705,-14.1292,0.5571
canary-v2,both,-7.5969,-15.1066,0.5762
owsm4.0-ctc,both,16.2791,-5.7317,0.1926
gemma_whisper,both,-10.8527,-12.2377,0.4796
tower_whisper,both,-10.2325,-12.5236,0.4765
aya_whisper,both,-6.9767,-12.3667,0.4719
aya_seamlessm4t,both,-0.3101,-13.4628,0.5159
gemma_seamlessm4t,both,-0.1551,-13.524,0.5216
tower_seamlessm4t,both,-0.6201,-13.6239,0.5177
aya_canary-v2,both,-1.5504,-14.3222,0.5554
gemma_canary-v2,both,-4.8062,-14.342,0.5624
tower_canary-v2,both,-5.1163,-14.5911,0.5678
aya_owsm4.0-ctc,both,-4.4961,-16.0453,0.6281
gemma_owsm4.0-ctc,both,-11.938,-16.3262,0.6426
tower_owsm4.0-ctc,both,-13.9535,-16.429,0.648
desta2-8b,both,-1.8604,-14.8948,0.5492
qwen2audio-7b,both,1.0853,-7.9447,0.3567
phi4multimodal,both,-32.5581,-9.9909,0.4325
voxtral-small-24b,both,-0.7751,-8.5954,0.3561
spirelm,both,-2.6357,-16.4104,0.6728
