system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-2.322,-8.7436,0.4287
canary-v2,both,0.0,0.0,0.0
owsm4.0-ctc,both,-9.1331,-11.5287,0.3952
gemma_whisper,both,-1.3932,-9.0952,0.4348
tower_whisper,both,-1.7028,-9.23,0.4369
aya_whisper,both,-0.1548,-8.726,0.4271
aya_seamlessm4t,both,-0.1548,-8.9232,0.4914
gemma_seamlessm4t,both,0.0,-8.9688,0.4956
tower_seamlessm4t,both,0.0,-9.0122,0.5013
aya_canary-v2,both,-0.774,-9.4564,0.5163
gemma_canary-v2,both,-3.5604,-9.5317,0.5198
tower_canary-v2,both,-3.5604,-9.8744,0.532
aya_owsm4.0-ctc,both,-5.2632,-10.9936,0.5906
gemma_owsm4.0-ctc,both,-10.6811,-11.9909,0.5946
tower_owsm4.0-ctc,both,-11.6099,-12.4401,0.6154
desta2-8b,both,-18.7307,-8.6063,0.3596
qwen2audio-7b,both,-1.0836,-5.3349,0.3637
phi4multimodal,both,-41.1765,-10.2934,0.4515
voxtral-small-24b,both,0.0,-5.5217,0.3619
spirelm,both,0.0,-9.3425,0.513
