system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-0.6608,-6.9916,0.3631
seamlessm4t,both,-0.2203,-7.7995,0.4145
canary-v2,both,0.1101,-8.0399,0.4063
owsm4.0-ctc,both,-8.5903,-8.2901,0.3046
gemma_whisper,both,-0.3304,-7.5479,0.3755
tower_whisper,both,-1.3216,-7.6657,0.3766
aya_whisper,both,-0.4405,-7.4216,0.3725
aya_seamlessm4t,both,-0.2203,-8.0303,0.4234
gemma_seamlessm4t,both,-0.4405,-8.282,0.4322
tower_seamlessm4t,both,-0.5507,-8.2222,0.4312
aya_canary-v2,both,-0.5507,-9.4312,0.4845
gemma_canary-v2,both,-0.5507,-9.5622,0.4851
tower_canary-v2,both,-0.5507,-9.613,0.4866
aya_owsm4.0-ctc,both,-3.4141,-11.4447,0.5491
gemma_owsm4.0-ctc,both,-4.2952,-11.4306,0.5473
tower_owsm4.0-ctc,both,-4.185,-11.6354,0.5562
desta2-8b,both,-1.3216,-11.7517,0.5312
qwen2audio-7b,both,-2.4229,-8.6188,0.4396
phi4multimodal,both,-2.9736,-4.4006,0.2651
voxtral-small-24b,both,-0.7709,-5.0627,0.2971
spirelm,right_only,,,
