system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-1.0355,-14.5792,0.6508
seamlessm4t,both,-0.1479,-15.2611,0.6873
canary-v2,both,-4.2899,-16.2982,0.6857
owsm4.0-ctc,both,-20.2663,-12.5294,0.3658
gemma_whisper,both,0.148,-16.3841,0.6948
tower_whisper,both,-30.7692,-16.8949,0.7475
aya_whisper,both,-0.1479,-14.512,0.6638
aya_seamlessm4t,both,-0.2958,-16.9152,0.7112
gemma_seamlessm4t,both,-0.8876,-16.9753,0.7079
tower_seamlessm4t,both,-2.2189,-17.0387,0.7189
aya_canary-v2,both,-7.3964,-17.6722,0.7458
gemma_canary-v2,both,-7.6923,-17.7797,0.7443
tower_canary-v2,both,-7.6923,-17.6418,0.7514
aya_owsm4.0-ctc,both,-13.1657,-17.7643,0.707
gemma_owsm4.0-ctc,both,-16.1242,-18.0223,0.7085
tower_owsm4.0-ctc,both,-16.2722,-18.1326,0.7175
desta2-8b,both,-1.9231,-17.4332,0.5815
qwen2audio-7b,both,-5.7692,-15.454,0.6176
phi4multimodal,both,-0.2958,-11.0383,0.5652
voxtral-small-24b,both,-0.5917,-13.1397,0.6388
spirelm,right_only,,,
