system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-0.4624,-6.4651,0.3878
seamlessm4t,both,-0.4624,-6.7663,0.418
canary-v2,both,-0.3468,-9.4519,0.4973
owsm4.0-ctc,both,-2.4278,-7.8793,0.2898
gemma_whisper,both,-0.2312,-6.605,0.3801
tower_whisper,both,-1.3873,-6.6234,0.3792
aya_whisper,both,-0.2312,-6.1163,0.36
aya_seamlessm4t,both,0.1156,-6.7645,0.3965
gemma_seamlessm4t,both,-0.1156,-6.9832,0.4042
tower_seamlessm4t,both,-0.1156,-7.1747,0.4088
aya_canary-v2,both,-1.0405,-10.4879,0.5471
gemma_canary-v2,both,-1.0405,-10.6114,0.5496
tower_canary-v2,both,-0.2312,-10.7784,0.5565
aya_owsm4.0-ctc,both,-0.3468,-11.5003,0.6042
gemma_owsm4.0-ctc,both,-1.8497,-11.9283,0.6108
tower_owsm4.0-ctc,both,-0.6937,-11.9433,0.6084
desta2-8b,both,-0.2312,-12.494,0.5712
qwen2audio-7b,both,-5.5492,-8.2191,0.4658
phi4multimodal,both,-6.7052,-3.3814,0.1989
voxtral-small-24b,both,-0.0,-3.7034,0.2584
spirelm,right_only,,,
