system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-1.0881,-8.655,0.3784
seamlessm4t,both,-0.0,-9.4209,0.4137
canary-v2,both,-4.3526,-10.7847,0.4715
owsm4.0-ctc,both,-20.457,-9.5775,0.3677
gemma_whisper,both,-2.2851,-8.9379,0.3885
tower_whisper,both,-9.6845,-8.9748,0.4008
aya_whisper,both,-2.3939,-8.7212,0.384
aya_seamlessm4t,both,-2.5027,-10.5254,0.4851
gemma_seamlessm4t,both,-3.2644,-10.6101,0.4816
tower_seamlessm4t,both,-4.2437,-10.5258,0.4838
aya_canary-v2,both,-5.0054,-11.7052,0.5292
gemma_canary-v2,both,-5.0054,-12.0233,0.5297
tower_canary-v2,both,-4.8966,-11.7692,0.5349
aya_owsm4.0-ctc,both,-7.2906,-11.9166,0.5437
gemma_owsm4.0-ctc,both,-10.0109,-12.722,0.5826
tower_owsm4.0-ctc,both,-9.6845,-12.5574,0.5842
desta2-8b,both,-3.6997,-12.1594,0.5162
qwen2audio-7b,both,-6.7465,-10.0488,0.4416
phi4multimodal,both,-0.7617,-3.957,0.2484
voxtral-small-24b,both,-0.2176,-7.012,0.3308
spirelm,right_only,,,
