system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,-0.2117,-7.4571,0.31
seamlessm4t,both,-1.164,-9.1584,0.4032
canary-v2,both,37.9895,1.7252,-0.0532
owsm4.0-ctc,both,-14.2857,-3.3852,0.0819
gemma_whisper,both,-1.3756,-7.8473,0.3451
tower_whisper,both,-1.3757,-7.8397,0.3451
aya_whisper,both,-1.164,-7.2875,0.33
aya_seamlessm4t,both,-1.4815,-9.1126,0.4326
gemma_seamlessm4t,both,-2.7513,-10.3669,0.4675
tower_seamlessm4t,both,-2.8571,-9.7913,0.4411
aya_canary-v2,both,6.6667,2.7265,-0.0071
gemma_canary-v2,right_only,,,
tower_canary-v2,both,33.5449,4.5783,-0.0642
aya_owsm4.0-ctc,both,-0.0,-10.2089,0.4807
gemma_owsm4.0-ctc,both,-0.6349,-10.9563,0.4863
tower_owsm4.0-ctc,both,-0.4233,-10.9579,0.4758
desta2-8b,both,-0.1058,-10.5417,0.4473
qwen2audio-7b,both,0.635,-2.6976,0.1386
phi4multimodal,both,-2.0106,-2.7274,0.1394
voxtral-small-24b,both,0.2116,-5.9795,0.3129
spirelm,right_only,,,
