system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,3.7122969837587005,20.666548065962203,20.696931324259587,0.19079387178017895,0.18495978929724743
seamlessm4t,1.0440835266821344,21.0245426550957,21.0669106478066,0.18925518216673293,0.18747710996672615
canary-v2,15.31322505800464,21.549008397588597,22.175661629078835,0.17864024342662221,0.14960913471618273
owsm4.0-ctc,39.443155452436194,22.77258551480322,23.982083354914547,0.16481127481898963,0.09009251184329356
gemma_whisper,,,,,
tower_whisper,20.069605568445475,20.200160880791337,20.283298223173535,0.21692902201855785,0.18076225200218524
aya_whisper,,,,,
aya_seamlessm4t,,,,,
gemma_seamlessm4t,,,,,
tower_seamlessm4t,5.104408352668213,21.068358124823693,21.187613379374458,0.18898590596656373,0.1785844913327293
aya_canary-v2,,,,,
gemma_canary-v2,,,,,
tower_canary-v2,30.74245939675174,19.945495403767186,21.78514019042046,0.2609326423628238,0.13103568654322648
aya_owsm4.0-ctc,,,,,
gemma_owsm4.0-ctc,,,,,
tower_owsm4.0-ctc,,,,,
desta2-8b,5.336426914153132,22.283666420287158,22.476608080404816,0.14083569719274625,0.1336274265215501
qwen2audio-7b,7.308584686774942,22.277494756223984,22.454642174553705,0.16389950240363654,0.15203683131877896
phi4multimodal,15.893271461716937,12.801075798176281,14.638141456585195,0.4420786282261553,0.3348918110748057
voxtral-small-24b,0.9280742459396751,18.05097995618933,18.14441377775022,0.2573818839756797,0.2559130004897639
spirelm,,,,,
