system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,3.8876889848812093,16.40237940522816,16.494088134356247,0.4117224235329013,0.4024202822230869
canary-v2,10.151187904967603,17.30914968998849,17.950062099208584,0.36649416688000924,0.3477385676793802
owsm4.0-ctc,18.142548596112313,22.491572718898368,22.913424197334965,0.18616877081069783,0.1581542683246326
gemma_whisper,19.222462203023756,14.545945692847665,14.723368476907327,0.4785165550211368,0.449320268797131
tower_whisper,12.095032397408207,14.60741753506094,14.754281184070827,0.48541010808416885,0.4656325715149453
aya_whisper,14.686825053995682,14.268454527526643,14.401742687525296,0.484462634690476,0.46242046740396875
aya_seamlessm4t,2.159827213822894,14.878651644093171,14.975359951091637,0.44873451894515276,0.4442003894170855
gemma_seamlessm4t,1.079913606911447,15.011724420567697,15.022342552135237,0.44545757226629856,0.4432201634118933
tower_seamlessm4t,1.9438444924406046,15.046664251364591,15.053359934887155,0.44336970208401816,0.44030216247744486
aya_canary-v2,1.2958963282937366,15.84080919166363,15.887913222833019,0.4022924003048476,0.39979595071022633
gemma_canary-v2,3.455723542116631,15.863459209531353,15.992345854623915,0.40011019830956057,0.39388605746285704
tower_canary-v2,1.079913606911447,15.732828048775959,15.740561544171033,0.41500723869670547,0.41350714243610526
aya_owsm4.0-ctc,3.2397408207343417,17.967659183506317,18.01320617245289,0.3104554547410282,0.3053548862782455
gemma_owsm4.0-ctc,15.550755939524837,18.46825533371507,18.97363296492311,0.311152814664188,0.2849563694524842
tower_owsm4.0-ctc,4.967602591792657,17.89079606339947,17.92161379146267,0.37705247981180123,0.36994302379003613
desta2-8b,7.343412526997841,19.147399030159153,19.243350862298104,0.29218235002834647,0.280881088532781
qwen2audio-7b,1.079913606911447,13.548388835742715,13.626564013842115,0.4684162681628638,0.4636908419204968
phi4multimodal,62.634989200863934,16.003061716422664,19.34050824691101,0.623762561551438,0.24389273370767
voxtral-small-24b,0.4319654427645789,9.862483664091926,9.864996243694689,0.6127471134356237,0.6121446034885122
spirelm,1.511879049676026,20.665943494625793,20.8069447129643,0.17497791440480592,0.17188524843126204
