system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,1.088139281828074,12.097048097096538,12.137821342500171,0.5078151083492569,0.5053992450487587
seamlessm4t,0.1088139281828074,13.099481738366032,13.102168885421442,0.4555971034568399,0.45539146370302086
canary-v2,4.352557127312296,14.566772708565937,14.607596892008194,0.38401501755498935,0.37902715913268614
owsm4.0-ctc,20.5658324265506,18.917264600054352,19.23603465689409,0.21278594639172557,0.18094326345750633
gemma_whisper,,,,,
tower_whisper,10.01088139281828,11.281547663536761,11.361093731663951,0.5400466830357243,0.5234943420627299
aya_whisper,,,,,
aya_seamlessm4t,,,,,
gemma_seamlessm4t,,,,,
tower_seamlessm4t,4.243743199129488,13.552748708976626,13.659044556117031,0.40295363406795637,0.3977057280148642
aya_canary-v2,,,,,
gemma_canary-v2,,,,,
tower_canary-v2,,,,,
aya_owsm4.0-ctc,,,,,
gemma_owsm4.0-ctc,,,,,
tower_owsm4.0-ctc,,,,,
desta2-8b,3.6996735582154514,15.819333936334045,15.984030300793892,0.29444954373441934,0.2886469357132887
qwen2audio-7b,7.834602829162132,14.3607395775981,14.629093687101728,0.3721062023784475,0.35313018125414003
phi4multimodal,0.9793253536452665,6.531443877257123,6.587250356851257,0.6765013572367737,0.6685341814161968
voxtral-small-24b,0.9793253536452665,9.13469832071931,9.19195345754333,0.6025559134069187,0.6003652127892624
spirelm,,,,,
