direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,acc_general,del_g_general,delta_s_general,quality_stereotype_score,quality_gender_score,del_g_general_norm,f1_male_general,f1_female_general,delta_s_general_norm,acc_anti,acc_pro
en_es,tower_canary-v2,0.0,2.1768,0.9452,86.6,-3.700000000000003,0.20000000000000284,0.8994073068011815,0.8849149452003184,-4.11,90.0,93.7,0.21,95.6,95.8
en_es,tower_whisper,0.0,2.2068,0.9439,86.5,-3.6999999999999886,0.3999999999999915,0.8973456505708911,0.8837040624656676,-4.12,89.9,93.6,0.42,95.4,95.8
en_es,tower_owsm4.0-ctc,0.0,2.4619,0.9357,85.2,-4.099999999999994,2.3999999999999915,0.8775953193304552,0.8706564038463597,-4.61,89.0,93.1,2.52,92.9,95.3
en_es,tower_seamlessm4t,0.0,2.99,0.9127,84.3,-3.5,1.7000000000000028,0.8631859890238912,0.8561742102959624,-3.99,87.7,91.2,1.81,92.0,93.7
en_es,voxtral-small-24b,0.0,1.9553,0.9586,71.2,3.1000000000000085,29.60000000000001,0.693095265625559,0.800915156141918,4.04,76.7,73.6,31.69,63.8,93.4
en_es,canary-v2,0.0257,2.9259,0.9363,69.4,4.0,29.5,0.6762712407113062,0.7750074972409482,5.31,75.3,71.3,32.49,61.3,90.8
en_es,qwen3omni,0.0257,2.1129,0.9508,69.3,5.299999999999997,28.9,0.6839616376150044,0.7771103520234455,7.0,75.7,70.4,31.83,61.9,90.8
en_es,aya_canary-v2,0.0,2.1854,0.9479,64.0,11.499999999999993,26.89999999999999,0.6630487001142298,0.7198584123953513,15.95,72.1,60.6,32.18,56.7,83.6
en_es,aya_whisper,0.0,2.2146,0.9466,63.7,11.600000000000009,27.299999999999997,0.6592101070072862,0.7169383949069533,16.13,71.9,60.3,32.69,56.2,83.5
en_es,aya_seamlessm4t,0.0514,2.9939,0.9142,63.0,12.0,26.599999999999994,0.6454378485830713,0.6962242830434644,16.83,71.3,59.3,32.32,55.7,82.3
en_es,aya_owsm4.0-ctc,0.1029,2.4978,0.933,62.7,12.400000000000006,26.799999999999997,0.6502905669059242,0.7015130360145956,17.37,71.4,59.0,32.64,55.3,82.1
en_es,spirelm,0.0257,4.0238,0.8831,61.8,11.0,10.900000000000006,0.676897796828104,0.6766090194446717,15.65,70.3,59.3,14.85,62.5,73.4
en_es,desta2-8b,0.0514,3.0778,0.9169,59.0,13.900000000000006,12.0,0.6700410916197446,0.664458866838187,20.23,68.7,54.8,17.02,58.5,70.5
en_es,gemma_canary-v2,0.0772,2.2078,0.9521,59.0,16.299999999999997,36.099999999999994,0.5978838382029733,0.672284883741713,23.8,68.5,52.2,43.6,46.7,82.8
en_es,gemma_seamlessm4t,0.1029,2.9559,0.9235,58.9,15.799999999999997,35.099999999999994,0.5918446688291086,0.6609207430472355,23.13,68.3,52.5,42.75,47.0,82.1
en_es,gemma_whisper,0.1029,2.244,0.9511,58.8,16.300000000000004,36.699999999999996,0.5938421883791175,0.6704968943885851,23.83,68.4,52.1,44.16,46.4,83.1
en_es,gemma_owsm4.0-ctc,0.1286,2.5049,0.9422,58.7,16.10000000000001,35.5,0.5955088369524555,0.6666711270700627,23.54,68.4,52.3,43.13,46.8,82.3
en_es,seamlessm4t,0.3086,6.3683,0.8076,56.8,16.599999999999994,16.599999999999994,0.5918849529920243,0.5918849529920243,24.85,66.8,50.2,23.35,54.5,71.1
en_es,qwen2audio-7b,0.5144,4.2039,0.9051,52.2,35.5,12.900000000000006,0.6126180196212442,0.545411055514898,53.38,66.5,31.0,20.03,51.5,64.4
en_es,owsm4.0-ctc,0.8745,9.3969,0.7055,49.4,33.800000000000004,18.200000000000003,0.48878311417664716,0.4566340873038257,52.24,64.7,30.9,28.57,45.5,63.7
en_es,phi4multimodal,78.3436,20.2333,0.2014,13.9,21.0,5.0,0.05438653751257932,0.05407305622799955,62.69,33.5,12.5,28.09,12.8,17.8
