direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,acc_general,del_g_general,delta_s_general,quality_stereotype_score,quality_gender_score,del_g_general_norm,f1_male_general,f1_female_general,delta_s_general_norm,acc_anti,acc_pro
en_fr,tower_whisper,0.0,2.4509,0.9184,78.1,-6.199999999999989,2.9000000000000057,0.8250687311700777,0.8129181011150806,-7.71,80.4,86.6,3.37,83.1,86.0
en_fr,tower_canary-v2,0.0,2.4382,0.9187,78.0,-6.1000000000000085,2.8999999999999915,0.8246157600264521,0.8128532785370254,-7.6,80.3,86.4,3.38,82.9,85.8
en_fr,tower_owsm4.0-ctc,0.0,2.7135,0.9042,76.9,-5.800000000000011,5.0,0.8029555047261651,0.8000839801486541,-7.29,79.6,85.4,5.84,80.6,85.6
en_fr,tower_seamlessm4t,0.0,3.25,0.8757,75.6,-4.700000000000003,4.099999999999994,0.78331223496776,0.7813033072095538,-5.98,78.6,83.3,4.9,79.5,83.6
en_fr,qwen3omni,0.0,2.6103,0.9146,60.5,8.099999999999994,30.599999999999994,0.6157346947447073,0.6907581735925229,11.89,68.1,60.0,38.11,49.7,80.3
en_fr,spirelm,0.0,4.1897,0.8297,60.2,5.199999999999996,14.5,0.6305815902405012,0.6542496856259232,7.81,66.6,61.4,20.19,57.3,71.8
en_fr,voxtral-small-24b,0.0,2.5357,0.9161,59.9,7.100000000000001,33.89999999999999,0.5996636443465431,0.6899478090892474,10.57,67.2,60.1,41.54,47.7,81.6
en_fr,canary-v2,0.0257,3.5774,0.8771,59.9,6.899999999999999,30.800000000000004,0.5972894260302161,0.6717072548709546,10.38,66.5,59.6,38.89,48.4,79.2
en_fr,desta2-8b,0.0257,3.7413,0.8555,58.8,8.0,29.0,0.5888608893073071,0.650428984831002,12.08,66.2,58.2,37.42,48.5,77.5
en_fr,aya_canary-v2,0.0,2.5311,0.9153,56.4,11.800000000000004,31.099999999999994,0.5902311673165569,0.651272558747879,18.04,65.4,53.6,41.03,44.7,75.8
en_fr,aya_whisper,0.0,2.5392,0.9148,56.2,11.799999999999997,31.5,0.587382848854858,0.6495895807058087,18.13,65.1,53.3,41.56,44.3,75.8
en_fr,aya_owsm4.0-ctc,0.0,2.8131,0.8952,55.8,12.700000000000003,31.5,0.5777392256924652,0.6354469857523554,19.57,64.9,52.2,41.83,43.8,75.3
en_fr,aya_seamlessm4t,0.0,3.2525,0.8719,54.8,13.799999999999997,31.499999999999993,0.5629402893633063,0.614814547710511,21.4,64.5,50.7,42.51,42.6,74.1
en_fr,seamlessm4t,0.0257,6.7994,0.7538,54.4,18.099999999999994,17.599999999999994,0.547612598082179,0.5465039451056867,28.15,64.3,46.2,26.15,49.7,67.3
en_fr,gemma_owsm4.0-ctc,0.0,2.7378,0.8946,54.4,17.5,30.800000000000004,0.5714450224254206,0.6121948452589631,27.01,64.8,47.3,41.96,42.6,73.4
en_fr,gemma_whisper,0.0,2.5135,0.9088,53.8,18.599999999999994,30.400000000000006,0.5743749905479999,0.6109173287619085,28.93,64.3,45.7,41.82,42.3,72.7
en_fr,gemma_canary-v2,0.0,2.4889,0.9095,53.7,17.0,34.3,0.5602922390096399,0.6149465773514365,26.56,64.0,47.0,45.98,40.3,74.6
en_fr,gemma_seamlessm4t,0.0,3.2658,0.8669,53.0,18.800000000000004,31.699999999999996,0.549358323332957,0.5868528530654203,29.51,63.7,44.9,43.85,40.6,72.3
en_fr,qwen2audio-7b,0.3858,4.4266,0.8511,52.6,26.800000000000004,14.0,0.5888352015548775,0.5555762988325803,41.42,64.7,37.9,22.01,49.6,63.6
en_fr,owsm4.0-ctc,0.2572,11.7277,0.474,42.3,35.2,8.600000000000001,0.3288622685289035,0.3062462928785082,59.56,59.1,23.9,17.52,40.5,49.1
en_fr,phi4multimodal,99.4084,24.8728,0.0054,0.4,1.6,0.2,4.319906503025587e-05,4.319905172813281e-05,100.0,1.6,0.0,40.0,0.3,0.5
