direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,acc_general,del_g_general,delta_s_general,quality_stereotype_score,quality_gender_score,del_g_general_norm,f1_male_general,f1_female_general,delta_s_general_norm,acc_anti,acc_pro
en_it,tower_canary-v2,0.1543,2.4265,0.9337,72.8,0.4000000000000057,-9.0,0.7781902275953656,0.8080218306776207,0.51,78.5,78.1,-12.18,82.9,73.9
en_it,tower_whisper,0.1543,2.4507,0.9322,72.6,0.7000000000000028,-9.399999999999991,0.7747902145671546,0.8049454257729713,0.89,78.4,77.7,-12.81,82.8,73.4
en_it,tower_owsm4.0-ctc,0.1029,2.6952,0.9194,71.8,-0.20000000000000284,-7.0,0.7721638669360955,0.7946412639015101,-0.26,77.6,77.8,-9.47,80.9,73.9
en_it,tower_seamlessm4t,0.1286,3.2476,0.8989,71.6,2.0,-9.299999999999997,0.7529366420647738,0.7769590229786371,2.58,77.6,75.6,-12.97,81.0,71.7
en_it,canary-v2,0.2572,3.4546,0.9097,58.3,13.0,21.60000000000001,0.6327032906099729,0.6589884765656938,19.2,67.7,54.7,29.43,51.8,73.4
en_it,voxtral-small-24b,0.0257,2.2267,0.9388,57.2,11.600000000000001,23.9,0.6296674029825726,0.6681273475123323,17.44,66.5,54.9,32.61,49.4,73.3
en_it,spirelm,0.2829,4.367,0.8651,56.1,17.799999999999997,7.700000000000003,0.6361494907659908,0.6103075123624946,26.65,66.8,49.0,12.11,55.9,63.6
en_it,desta2-8b,0.3601,3.6974,0.8784,55.1,15.899999999999991,26.799999999999997,0.582709366722851,0.6144047485642247,24.42,65.1,49.2,37.75,44.2,71.0
en_it,aya_canary-v2,0.4372,2.4682,0.9315,54.6,19.099999999999994,18.999999999999993,0.6248528779409055,0.6245551051571837,29.12,65.6,46.5,28.11,48.6,67.6
en_it,aya_whisper,0.463,2.4825,0.9307,54.5,19.1,19.5,0.622331284533255,0.6235229646152672,29.16,65.5,46.4,28.8,48.2,67.7
en_it,seamlessm4t,0.3086,7.1865,0.7864,53.6,21.699999999999996,11.5,0.5710428390007458,0.5480112802678998,33.33,65.1,43.4,18.14,51.9,63.4
en_it,aya_seamlessm4t,0.3601,3.225,0.9001,53.5,19.9,19.799999999999997,0.6017760958152504,0.6014943680711955,30.71,64.8,44.9,29.77,46.7,66.5
en_it,aya_owsm4.0-ctc,0.4372,2.7487,0.9186,53.2,19.199999999999996,21.999999999999993,0.6009043874367933,0.6090339836223655,29.72,64.6,45.4,32.54,45.6,67.6
en_it,qwen3omni,0.2315,2.5171,0.9353,52.7,18.599999999999994,21.200000000000003,0.6064590565828125,0.6140059249993363,28.79,64.6,46.0,31.64,45.8,67.0
en_it,gemma_owsm4.0-ctc,0.2829,2.6494,0.9136,49.9,22.4,26.89999999999999,0.56155830650684,0.5743514116236691,35.78,62.6,40.2,40.39,39.7,66.6
en_it,gemma_whisper,0.2058,2.3965,0.9225,49.9,23.700000000000003,27.60000000000001,0.562812414640376,0.5742205296619262,37.8,62.7,39.0,41.26,39.3,66.9
en_it,gemma_seamlessm4t,0.2058,3.1554,0.888,49.8,25.0,25.299999999999997,0.5555577889447236,0.5563853772445447,39.81,62.8,37.8,38.92,39.7,65.0
en_it,qwen2audio-7b,0.0772,4.808,0.8709,49.8,39.599999999999994,13.200000000000003,0.5784072307449549,0.5048813390893511,61.59,64.3,24.7,21.82,47.3,60.5
en_it,gemma_canary-v2,0.2572,2.4115,0.9249,49.8,24.4,26.5,0.5663116265788514,0.5724374386918563,38.85,62.8,38.4,40.46,39.0,65.5
en_it,owsm4.0-ctc,2.1091,12.3904,0.5319,42.6,39.900000000000006,11.600000000000001,0.36071842500927886,0.3291009512688297,65.73,60.7,20.8,23.02,38.8,50.4
en_it,phi4multimodal,28.0864,9.7004,0.648,35.1,36.8,13.0,0.3606180156144073,0.33451037410058554,65.02,56.6,19.8,29.82,30.6,43.6
