system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,0.0514,0.3086,0.0257,0.3086,0.823
canary-v2,0.0257,0.0257,0.0257,0.2572,0.1029
owsm4.0-ctc,0.0,0.8745,0.2572,2.1091,1.0802
aya_whisper,0.0514,0.0,0.0,0.463,0.0257
gemma_whisper,0.0,0.1029,0.0,0.2058,0.0257
tower_whisper,0.0,0.0,0.0,0.1543,0.0772
aya_seamlessm4t,0.0257,0.0514,0.0,0.3601,0.0514
gemma_seamlessm4t,0.0,0.1029,0.0,0.2058,0.0514
tower_seamlessm4t,0.0,0.0,0.0,0.1286,0.0772
aya_canary-v2,0.0,0.0,0.0,0.4372,0.0514
gemma_canary-v2,0.0,0.0772,0.0,0.2572,0.0514
tower_canary-v2,0.0,0.0,0.0,0.1543,0.0772
aya_owsm4.0-ctc,0.0514,0.1029,0.0,0.4372,0.0772
gemma_owsm4.0-ctc,0.0,0.1286,0.0,0.2829,0.0514
tower_owsm4.0-ctc,0.0,0.0,0.0,0.1029,0.0772
desta2-8b,0.0257,0.0514,0.0257,0.3601,0.0772
qwen2audio-7b,0.2829,0.5144,0.3858,0.0772,0.7973
phi4multimodal,50.7459,78.3436,99.4084,28.0864,21.1163
voxtral-small-24b,0.0,0.0,0.0,0.0257,0.0514
spirelm,0.0,0.0257,0.0,0.2829,0.0514
qwen3omni,0.0,0.0257,0.0,0.2315,0.0514
