system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,56.3,54.5,49.7,51.9,55.1
canary-v2,65.2,61.3,48.4,51.8,66.0
owsm4.0-ctc,52.4,45.5,40.5,38.8,45.7
aya_whisper,60.2,56.2,44.3,48.2,58.3
gemma_whisper,49.0,46.4,42.3,39.3,45.1
tower_whisper,91.4,95.4,83.1,82.8,94.8
aya_seamlessm4t,59.8,55.7,42.6,46.7,57.1
gemma_seamlessm4t,48.7,47.0,40.6,39.7,45.1
tower_seamlessm4t,89.2,92.0,79.5,81.0,91.9
aya_canary-v2,60.2,56.7,44.7,48.6,58.7
gemma_canary-v2,48.9,46.7,40.3,39.0,46.3
tower_canary-v2,91.7,95.6,82.9,82.9,95.2
aya_owsm4.0-ctc,58.9,55.3,43.8,45.6,57.4
gemma_owsm4.0-ctc,49.9,46.8,42.6,39.7,45.6
tower_owsm4.0-ctc,90.0,92.9,80.6,80.9,93.9
desta2-8b,64.8,58.5,48.5,44.2,54.3
qwen2audio-7b,53.7,51.5,49.6,47.3,52.6
phi4multimodal,27.8,12.8,0.3,30.6,40.8
voxtral-small-24b,65.9,63.8,47.7,49.4,65.5
spirelm,69.5,62.5,57.3,55.9,67.0
qwen3omni,59.0,61.9,49.7,45.8,68.1
