system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,65.9,71.1,67.3,63.4,66.5
canary-v2,85.9,90.8,79.2,73.4,89.1
owsm4.0-ctc,70.5,63.7,49.1,50.4,63.8
aya_whisper,78.4,83.5,75.8,67.7,81.8
gemma_whisper,80.1,83.1,72.7,66.9,83.0
tower_whisper,92.6,95.8,86.0,73.4,93.4
aya_seamlessm4t,76.5,82.3,74.1,66.5,80.9
gemma_seamlessm4t,77.3,82.1,72.3,65.0,81.3
tower_seamlessm4t,90.0,93.7,83.6,71.7,90.5
aya_canary-v2,79.3,83.6,75.8,67.6,81.9
gemma_canary-v2,80.7,82.8,74.6,65.5,83.0
tower_canary-v2,92.6,95.8,85.8,73.9,93.3
aya_owsm4.0-ctc,78.3,82.1,75.3,67.6,81.9
gemma_owsm4.0-ctc,79.9,82.3,73.4,66.6,82.3
tower_owsm4.0-ctc,92.0,95.3,85.6,73.9,93.4
desta2-8b,72.1,70.5,77.5,71.0,82.6
qwen2audio-7b,67.3,64.4,63.6,60.5,68.1
phi4multimodal,37.8,17.8,0.5,43.6,61.6
voxtral-small-24b,82.3,93.4,81.6,73.3,88.6
spirelm,76.5,73.4,71.8,63.6,75.9
qwen3omni,84.0,90.8,80.3,67.0,91.7
