system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,19.300000000000004,16.599999999999994,18.099999999999994,21.699999999999996,26.499999999999993
canary-v2,2.799999999999997,4.0,6.899999999999999,13.0,3.5
owsm4.0-ctc,20.60000000000001,33.800000000000004,35.2,39.900000000000006,32.199999999999996
aya_whisper,7.899999999999999,11.600000000000009,11.799999999999997,19.1,10.5
gemma_whisper,11.099999999999994,16.300000000000004,18.599999999999994,23.700000000000003,15.900000000000006
tower_whisper,-3.799999999999997,-3.6999999999999886,-6.199999999999989,0.7000000000000028,-3.9000000000000057
aya_seamlessm4t,7.299999999999997,12.0,13.799999999999997,19.9,11.0
gemma_seamlessm4t,10.100000000000009,15.799999999999997,18.800000000000004,25.0,16.699999999999996
tower_seamlessm4t,-3.799999999999997,-3.5,-4.700000000000003,2.0,-3.1999999999999886
aya_canary-v2,7.899999999999999,11.499999999999993,11.800000000000004,19.099999999999994,10.400000000000006
gemma_canary-v2,10.900000000000006,16.299999999999997,17.0,24.4,15.600000000000001
tower_canary-v2,-3.8999999999999915,-3.700000000000003,-6.1000000000000085,0.4000000000000057,-3.9000000000000057
aya_owsm4.0-ctc,8.899999999999991,12.400000000000006,12.700000000000003,19.199999999999996,11.000000000000007
gemma_owsm4.0-ctc,10.799999999999997,16.10000000000001,17.5,22.4,16.0
tower_owsm4.0-ctc,-3.799999999999997,-4.099999999999994,-5.800000000000011,-0.20000000000000284,-3.799999999999997
desta2-8b,2.1000000000000085,13.900000000000006,8.0,15.899999999999991,7.200000000000003
qwen2audio-7b,26.400000000000006,35.5,26.800000000000004,39.599999999999994,30.400000000000006
phi4multimodal,32.3,21.0,1.6,36.8,27.5
voxtral-small-24b,3.700000000000003,3.1000000000000085,7.100000000000001,11.600000000000001,4.599999999999994
spirelm,6.700000000000003,11.0,5.199999999999996,17.799999999999997,9.400000000000006
qwen3omni,7.699999999999989,5.299999999999997,8.099999999999994,18.599999999999994,2.1000000000000085
