system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,29.15,24.85,28.15,33.33,39.2
canary-v2,3.75,5.31,10.38,19.2,4.59
owsm4.0-ctc,30.79,52.24,59.56,65.73,49.46
aya_whisper,11.16,16.13,18.13,29.16,14.58
gemma_whisper,16.54,23.83,28.93,37.8,23.42
tower_whisper,-4.37,-4.12,-7.71,0.89,-4.43
aya_seamlessm4t,10.49,16.83,21.4,30.71,15.43
gemma_seamlessm4t,15.44,23.13,29.51,39.81,24.7
tower_seamlessm4t,-4.48,-3.99,-5.98,2.58,-3.73
aya_canary-v2,11.08,15.95,18.04,29.12,14.4
gemma_canary-v2,16.29,23.8,26.56,38.85,22.87
tower_canary-v2,-4.49,-4.11,-7.6,0.51,-4.43
aya_owsm4.0-ctc,12.61,17.37,19.57,29.72,15.41
gemma_owsm4.0-ctc,16.05,23.54,27.01,35.78,23.6
tower_owsm4.0-ctc,-4.42,-4.61,-7.29,-0.26,-4.33
desta2-8b,3.09,20.23,12.08,24.42,10.3
qwen2audio-7b,39.17,53.38,41.42,61.59,45.1
phi4multimodal,58.73,62.69,100.0,65.02,42.64
voxtral-small-24b,5.07,4.04,10.57,17.44,6.07
spirelm,9.14,15.65,7.81,26.65,13.02
qwen3omni,10.68,7.0,11.89,28.79,2.72
