system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,14.57,23.35,26.15,18.14,17.14
canary-v2,24.1,32.49,38.89,29.43,25.93
owsm4.0-ctc,25.67,28.57,17.52,23.02,28.37
aya_whisper,23.21,32.69,41.56,28.8,28.73
gemma_whisper,38.83,44.16,41.82,41.26,45.66
tower_whisper,1.3,0.42,3.37,-12.81,-1.5
aya_seamlessm4t,21.83,32.32,42.51,29.77,29.42
gemma_seamlessm4t,37.0,42.75,43.85,38.92,44.53
tower_seamlessm4t,0.89,1.81,4.9,-12.97,-1.55
aya_canary-v2,24.09,32.18,41.03,28.11,28.33
gemma_canary-v2,39.41,43.6,45.98,40.46,44.22
tower_canary-v2,0.97,0.21,3.38,-12.18,-2.04
aya_owsm4.0-ctc,24.78,32.64,41.83,32.54,29.91
gemma_owsm4.0-ctc,37.55,43.13,41.96,40.39,44.59
tower_owsm4.0-ctc,2.17,2.52,5.84,-9.47,-0.54
desta2-8b,10.12,17.02,37.42,37.75,34.26
qwen2audio-7b,20.21,20.03,22.01,21.82,22.76
phi4multimodal,26.46,28.09,40.0,29.82,33.77
voxtral-small-24b,19.93,31.69,41.54,32.61,26.07
spirelm,9.15,14.85,20.19,12.11,11.73
qwen3omni,29.76,31.83,38.11,31.64,25.74
