system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,46.9,50.2,46.2,43.4,41.1
canary-v2,71.9,71.3,59.6,54.7,72.8
owsm4.0-ctc,46.3,30.9,23.9,20.8,32.9
aya_whisper,62.9,60.3,53.3,46.4,61.5
gemma_whisper,56.0,52.1,45.7,39.0,52.0
tower_whisper,90.7,93.6,86.6,77.7,91.9
aya_seamlessm4t,62.3,59.3,50.7,44.9,60.3
gemma_seamlessm4t,55.3,52.5,44.9,37.8,50.9
tower_seamlessm4t,88.6,91.2,83.3,75.6,89.1
aya_canary-v2,63.4,60.6,53.6,46.5,61.8
gemma_canary-v2,56.0,52.2,47.0,38.4,52.6
tower_canary-v2,90.8,93.7,86.4,78.1,92.0
aya_owsm4.0-ctc,61.7,59.0,52.2,45.4,60.4
gemma_owsm4.0-ctc,56.5,52.3,47.3,40.2,51.8
tower_owsm4.0-ctc,89.8,93.1,85.4,77.8,91.6
desta2-8b,65.8,54.8,58.2,49.2,62.7
qwen2audio-7b,41.0,31.0,37.9,24.7,37.0
phi4multimodal,22.7,12.5,0.0,19.8,37.0
voxtral-small-24b,69.3,73.6,60.1,54.9,71.2
spirelm,66.6,59.3,61.4,49.0,62.8
qwen3omni,64.4,70.4,60.0,46.0,75.1
