system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,66.2,66.8,64.3,65.1,67.6
canary-v2,74.7,75.3,66.5,67.7,76.3
owsm4.0-ctc,66.9,64.7,59.1,60.7,65.1
aya_whisper,70.8,71.9,65.1,65.5,72.0
gemma_whisper,67.1,68.4,64.3,62.7,67.9
tower_whisper,86.9,89.9,80.4,78.4,88.0
aya_seamlessm4t,69.6,71.3,64.5,64.8,71.3
gemma_seamlessm4t,65.4,68.3,63.7,62.8,67.6
tower_seamlessm4t,84.8,87.7,78.6,77.6,85.9
aya_canary-v2,71.3,72.1,65.4,65.6,72.2
gemma_canary-v2,66.9,68.5,64.0,62.8,68.2
tower_canary-v2,86.9,90.0,80.3,78.5,88.1
aya_owsm4.0-ctc,70.6,71.4,64.9,64.6,71.4
gemma_owsm4.0-ctc,67.3,68.4,64.8,62.6,67.8
tower_owsm4.0-ctc,86.0,89.0,79.6,77.6,87.8
desta2-8b,67.9,68.7,66.2,65.1,69.9
qwen2audio-7b,67.4,66.5,64.7,64.3,67.4
phi4multimodal,55.0,33.5,1.6,56.6,64.5
voxtral-small-24b,73.0,76.7,67.2,66.5,75.8
spirelm,73.3,70.3,66.6,66.8,72.2
qwen3omni,72.1,75.7,68.1,64.6,77.2
