system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,5.255,6.3683,6.7994,7.1865,7.6409
canary-v2,1.9536,2.9259,3.5774,3.4546,3.0837
owsm4.0-ctc,4.7525,9.3969,11.7277,12.3904,10.722
aya_whisper,1.1518,2.2146,2.5392,2.4825,2.5035
gemma_whisper,1.2357,2.244,2.5135,2.3965,2.5201
tower_whisper,0.9633,2.2068,2.4509,2.4507,2.3282
aya_seamlessm4t,1.6947,2.9939,3.2525,3.225,3.3646
gemma_seamlessm4t,1.7867,2.9559,3.2658,3.1554,3.3362
tower_seamlessm4t,1.5561,2.99,3.25,3.2476,3.2299
aya_canary-v2,1.1222,2.1854,2.5311,2.4682,2.4758
gemma_canary-v2,1.2377,2.2078,2.4889,2.4115,2.5256
tower_canary-v2,0.9401,2.1768,2.4382,2.4265,2.3045
aya_owsm4.0-ctc,1.2713,2.4978,2.8131,2.7487,2.7503
gemma_owsm4.0-ctc,1.3712,2.5049,2.7378,2.6494,2.8264
tower_owsm4.0-ctc,1.1649,2.4619,2.7135,2.6952,2.6208
desta2-8b,2.1212,3.0778,3.7413,3.6974,3.6002
qwen2audio-7b,3.0392,4.2039,4.4266,4.808,4.6581
phi4multimodal,13.5022,20.2333,24.8728,9.7004,8.5
voxtral-small-24b,0.9563,1.9553,2.5357,2.2267,2.3018
spirelm,2.5649,4.0238,4.1897,4.367,4.2547
qwen3omni,1.1905,2.1129,2.6103,2.5171,2.1869
