system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,0.6148443549383718,0.5918849529920243,0.5465039451056867,0.5480112802678998,0.5682398964809948
canary-v2,0.7996547817313481,0.7750074972409482,0.6717072548709546,0.6589884765656938,0.7981858400626176
owsm4.0-ctc,0.6244486356263623,0.4566340873038257,0.3062462928785082,0.3291009512688297,0.45207626023291253
aya_whisper,0.7531165810815972,0.7169383949069533,0.6495895807058087,0.6235229646152672,0.7360390132338369
gemma_whisper,0.707912556559585,0.6704968943885851,0.6109173287619085,0.5742205296619262,0.6800377416866809
tower_whisper,0.8967684472203019,0.8837040624656676,0.8129181011150806,0.8049454257729713,0.8933363001094581
aya_seamlessm4t,0.7404322313924285,0.6962242830434644,0.614814547710511,0.6014943680711955,0.7138559292234317
gemma_seamlessm4t,0.6935851679813291,0.6609207430472355,0.5868528530654203,0.5563853772445447,0.6605145180769636
tower_seamlessm4t,0.8757465576439772,0.8561742102959624,0.7813033072095538,0.7769590229786371,0.8667405806877069
aya_canary-v2,0.7568346271021344,0.7198584123953513,0.651272558747879,0.6245551051571837,0.7386355168451969
gemma_canary-v2,0.7077510298402491,0.672284883741713,0.6149465773514365,0.5724374386918563,0.6844500669328201
tower_canary-v2,0.8966261550876261,0.8849149452003184,0.8128532785370254,0.8080218306776207,0.8943343337127876
aya_owsm4.0-ctc,0.7441898978281618,0.7015130360145956,0.6354469857523554,0.6090339836223655,0.7241065656549497
gemma_owsm4.0-ctc,0.7092638976743344,0.6666711270700627,0.6121948452589631,0.5743514116236691,0.6741079187057862
tower_owsm4.0-ctc,0.8890696294193879,0.8706564038463597,0.8000839801486541,0.7946412639015101,0.8874661013304279
desta2-8b,0.754604017166744,0.664458866838187,0.650428984831002,0.6144047485642247,0.7232923944610463
qwen2audio-7b,0.6115390598858709,0.545411055514898,0.5555762988325803,0.5048813390893511,0.583402846354923
phi4multimodal,0.23636727091746645,0.05407305622799955,4.319905172813281e-05,0.33451037410058554,0.4645181052124376
voxtral-small-24b,0.7935568743818001,0.800915156141918,0.6899478090892474,0.6681273475123323,0.7960347260369038
spirelm,0.755346297715731,0.6766090194446717,0.6542496856259232,0.6103075123624946,0.7227176672969664
qwen3omni,0.7635084100215055,0.7771103520234455,0.6907581735925229,0.6140059249993363,0.8222502998042385
