system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,0.6410476102826599,0.5918849529920243,0.547612598082179,0.5710428390007458,0.6083161346405399
canary-v2,0.7317144370889717,0.6762712407113062,0.5972894260302161,0.6327032906099729,0.7220730602175581
owsm4.0-ctc,0.6320351725728168,0.48878311417664716,0.3288622685289035,0.36071842500927886,0.4796039640586216
aya_whisper,0.7162428726018496,0.6592101070072862,0.587382848854858,0.622331284533255,0.6879664809581507
gemma_whisper,0.6345727059149263,0.5938421883791175,0.5743749905479999,0.562812414640376,0.5948382518522322
tower_whisper,0.907904514094811,0.8973456505708911,0.8250687311700777,0.7747902145671546,0.9039896986346396
aya_seamlessm4t,0.708502179207962,0.6454378485830713,0.5629402893633063,0.6017760958152504,0.668800983566356
gemma_seamlessm4t,0.6305605234797949,0.5918446688291086,0.549358323332957,0.5555577889447236,0.5891258348225952
tower_seamlessm4t,0.8879696495075006,0.8631859890238912,0.78331223496776,0.7529366420647738,0.8738827896809992
aya_canary-v2,0.7161008166524224,0.6630487001142298,0.5902311673165569,0.6248528779409055,0.6911549030927764
gemma_canary-v2,0.6309558923595008,0.5978838382029733,0.5602922390096399,0.5663116265788514,0.6029547266811647
tower_canary-v2,0.9094699683596973,0.8994073068011815,0.8246157600264521,0.7781902275953656,0.9028997214576645
aya_owsm4.0-ctc,0.7065924268024256,0.6502905669059242,0.5777392256924652,0.6009043874367933,0.6750070077741761
gemma_owsm4.0-ctc,0.6395251967806154,0.5955088369524555,0.5714450224254206,0.56155830650684,0.5959144149952113
tower_owsm4.0-ctc,0.8966801557934075,0.8775953193304552,0.8029555047261651,0.7721638669360955,0.9012535707781679
desta2-8b,0.7386356575644603,0.6700410916197446,0.5888608893073071,0.582709366722851,0.6488771816221434
qwen2audio-7b,0.6516464745844751,0.6126180196212442,0.5888352015548775,0.5784072307449549,0.6299583124252133
phi4multimodal,0.24705343727466694,0.05438653751257932,4.319906503025587e-05,0.3606180156144073,0.47745765375920507
voxtral-small-24b,0.7468123535563469,0.693095265625559,0.5996636443465431,0.6296674029825726,0.7234253423532926
spirelm,0.7543612616093507,0.676897796828104,0.6305815902405012,0.6361494907659908,0.7243032267288947
qwen3omni,0.6970107386430552,0.6839616376150044,0.6157346947447073,0.6064590565828125,0.7353483399965234
