system,en_de,en_es,en_fr,en_it,en_pt
seamlessm4t,0.8697,0.8076,0.7538,0.7864,0.8212
canary-v2,0.958,0.9363,0.8771,0.9097,0.9452
owsm4.0-ctc,0.8949,0.7055,0.474,0.5319,0.6597
aya_whisper,0.9755,0.9466,0.9148,0.9307,0.9557
gemma_whisper,0.9737,0.9511,0.9088,0.9225,0.9561
tower_whisper,0.9811,0.9439,0.9184,0.9322,0.9626
aya_seamlessm4t,0.9586,0.9142,0.8719,0.9001,0.9239
gemma_seamlessm4t,0.9553,0.9235,0.8669,0.888,0.9259
tower_seamlessm4t,0.9625,0.9127,0.8757,0.8989,0.9319
aya_canary-v2,0.9762,0.9479,0.9153,0.9315,0.9563
gemma_canary-v2,0.9735,0.9521,0.9095,0.9249,0.9562
tower_canary-v2,0.9817,0.9452,0.9187,0.9337,0.9635
aya_owsm4.0-ctc,0.9722,0.933,0.8952,0.9186,0.9448
gemma_owsm4.0-ctc,0.9698,0.9422,0.8946,0.9136,0.9477
tower_owsm4.0-ctc,0.9757,0.9357,0.9042,0.9194,0.9533
desta2-8b,0.9503,0.9169,0.8555,0.8784,0.9259
qwen2audio-7b,0.9291,0.9051,0.8511,0.8709,0.9048
phi4multimodal,0.4741,0.2014,0.0054,0.648,0.7271
voxtral-small-24b,0.978,0.9586,0.9161,0.9388,0.9592
spirelm,0.9345,0.8831,0.8297,0.8651,0.9094
qwen3omni,0.9775,0.9508,0.9146,0.9353,0.963
