path	translation	split
common_voice_zh-CN_18646658.mp3	Progressive dryness samples, including dryness in mouth, eyes and vagina.	test
common_voice_zh-CN_18776118.mp3	In the thirty eighth year of Jiaqing, won the second place of Jinshi at the third round.	test
common_voice_zh-CN_18840501.mp3	In order to punish the alliance between Siza and Seljuk, the allies burned the outer city after arriving.	test
common_voice_zh-CN_19871025.mp3	The river is rich in yellow scaleless finned fish.	test
common_voice_zh-CN_19599902.mp3	Toilets are provided on the down platform.	test
common_voice_zh-CN_18990129.mp3	The fleet in this district is primarily responsible for providing a barrier for the battleship fleet in high seas fleet.	test
common_voice_zh-CN_18978887.mp3	Long term credit banking act.	test
common_voice_zh-CN_18983026.mp3	Wearing a crown of seven jewels, the whole body shone.	test
common_voice_zh-CN_18987308.mp3	Thick walls keep the old machine warm in winter and cool in summer.	test
common_voice_zh-CN_18832787.mp3	Binjiang County has been subordinate to the Northwest Road and Binjiang Road of Jilin Province.	test
common_voice_zh-CN_19005778.mp3	Most of the customers speak Japanese and Mandarin.	test
common_voice_zh-CN_18774708.mp3	Throughout the year, the embassy held many events for various political figures and the public, including the celebration of independence day.	test
common_voice_zh-CN_18903199.mp3	Tea for cold originated in Lingnan area of China.	test
common_voice_zh-CN_18978243.mp3	Electro house is a type of House Music.	test
common_voice_zh-CN_18984455.mp3	Local governments at all levels have sharply reduced the construction of healthy trails.	test
common_voice_zh-CN_18653869.mp3	Fouts Springs is an unincorporated community in Colusa County, California, United States.	test
common_voice_zh-CN_18733748.mp3	When she died, the obituary called her "unsinkable Mrs Brown".	test
common_voice_zh-CN_18817154.mp3	Critics commented that the use of ‘pop song’ in the lyrics, was inconsistence to the classical tones throughout the song.	test
common_voice_zh-CN_18524189.mp3	It happened that mother was looking out	test
common_voice_zh-CN_18997990.mp3	Currently, the Tchoukball movement is one of the main directions promoted by Taiwan Tchoukball Association	test
common_voice_zh-CN_18944937.mp3	Jiaobei Sub-district is a sub-district under the jurisdiction of Jiaozhou City, Qingdao City, Shandong Province, China.	test
common_voice_zh-CN_18978133.mp3	The town which formed near their landing is now called Puerto Madryn.	test
common_voice_zh-CN_18994723.mp3	His godparents were King Frederick I of Sweden.	test
common_voice_zh-CN_18592547.mp3	Never return again	test
common_voice_zh-CN_18987745.mp3	Gui is the family name of the Monarch.	test
common_voice_zh-CN_19093928.mp3	The illustration of the population change in Saint-André in Embrun.	test
common_voice_zh-CN_18978611.mp3	His wife is professor Xiao Ruiping, director of the Institute of Molecular Medicine at Peking University.	test
common_voice_zh-CN_18811752.mp3	This building is part of the name of Iskandar of Johor.	test
common_voice_zh-CN_18934584.mp3	He is excited about new things in town.	test
common_voice_zh-CN_20104500.mp3	Born in Fenghua City.	test
common_voice_zh-CN_18539415.mp3	I have no opinion on who to give it to	test
common_voice_zh-CN_18999777.mp3	The year 1914.	test
common_voice_zh-CN_18995715.mp3	The rank of major general in the Chinese people's Liberation Army.	test
common_voice_zh-CN_18981253.mp3	Cernusson.	test
common_voice_zh-CN_19004194.mp3	Capitalsaurus is the state dinosaur of Washington D.C.	test
common_voice_zh-CN_18794054.mp3	Duan Chong, also names Li Gao, Eastern Han figure from Han Zhong County, Nan Zheng District.	test
common_voice_zh-CN_19589100.mp3	Oxicaine is an effective local anesthetic.	test
common_voice_zh-CN_18988030.mp3	Ercoli.	test
common_voice_zh-CN_18989939.mp3	Most of them refer to real human language.	test
common_voice_zh-CN_18813282.mp3	In the fifth year of Longqing, win the twenty sixth place at Jinshi second round.	test
common_voice_zh-CN_19003215.mp3	chubby body goes for a stroll	test
common_voice_zh-CN_18772310.mp3	Behind the scenes gags "My Goddess" is broadcast on TTV Main Channel and iQiyi.	test
common_voice_zh-CN_19004870.mp3	St. Paul's Cathedral of Calcutta in India.	test
common_voice_zh-CN_18979113.mp3	The match between America and Chivas de Guadalajara is considered to be Mexico's most important Derby.	test
common_voice_zh-CN_18990208.mp3	Rose to be vice director of the Nanjing Ministry of Justice	test
common_voice_zh-CN_18987360.mp3	Tuong Quan Cong Nguyen Phuc Khe	test
common_voice_zh-CN_18977934.mp3	Clefmont.	test
common_voice_zh-CN_18979656.mp3	The illustration of the population change in Saint-Aquilin-de-Pacy	test
common_voice_zh-CN_18682401.mp3	This game is an artificial intelligence program that can find out the best questions to ask players and learn.	test
common_voice_zh-CN_19261205.mp3	It is divided into two types: inside and outside lips.	test
common_voice_zh-CN_18979777.mp3	Revoke the Air Force in Wuhan Military Region.	test
common_voice_zh-CN_18979779.mp3	The term computational chemistry is sometimes used to refer to the interdisciplinary subject of computer science and chemistry.	test
common_voice_zh-CN_18584013.mp3	His mother died of complications when she gave birth to her brother at his age of eight.	test
common_voice_zh-CN_18584015.mp3	Passengers can also use their mobile phone scan QR codes to pay for the ride.	test
common_voice_zh-CN_20109770.mp3	If the tilt key is pressed for too long, the spring will not work.	test
common_voice_zh-CN_20109771.mp3	He briefly played for Chesley Town, a regional league team, and studied to be a construction worker.	test
common_voice_zh-CN_18772591.mp3	Sakurako Kishiro is a senior Japanese voice actress.	test
common_voice_zh-CN_18772592.mp3	In the 38th year of Jiajing, the 47th among the second Grade of Jinshi.	test
common_voice_zh-CN_19792449.mp3	The channel that causes the fading of signal is called a fading channel.	test
common_voice_zh-CN_19792450.mp3	Native of Shanghai County, Songjiang Prefecture, Nan Zhili	test
common_voice_zh-CN_19499721.mp3	Probolocoryphe glandulosa is a member of the genus rostellum of microphalidae.	test
common_voice_zh-CN_19499722.mp3	The court has a lawn for the S-League to host matches.	test
common_voice_zh-CN_18982788.mp3	The boot also protects the rider's legs from friction with the saddle.	test
common_voice_zh-CN_18982790.mp3	Eventually, the school was named Yantai No. 1 Middle School in Shandong Province.	test
common_voice_zh-CN_18979489.mp3	The illustration of the population change in Chevrières	test
